verifying 196 certificates on 8 workers
| cell | our certified SDP value | our LB | best known LB (source) | known UB | verdict |
|---|---|---|---|---|---|
| K_3(6,1) | 225385.7756 (cube root 60.8568) | 61 | 71 (Keri key t) | 73 | below |
| K_3(6,2) | 2259.8795 (cube root 13.1229) | 14 | 15 (Keri key i) | 17 | below |
| K_3(7,1) | 3439793.0122 (cube root 150.9538) | 151 | 156 (Keri key j) | 186 | below |
| K_3(7,2) | 18364.2273 (cube root 26.3830) | 27 | 27 (GP2025, Keri key y) | 34 | matches |
| K_3(7,3) | 619.5739 (cube root 8.5251) | 9 | 11 (Keri key u) | 12 | below |
| K_3(8,1) | 65414457.1125 (cube root 402.9253) | 403 | 403 (GP2025, Keri key j) | 486 | matches |
| K_3(8,2) | 190081.2303 (cube root 57.4972) | 58 | 58 (GP2025, Keri key z) | 81 | matches |
| K_3(8,3) | 3793.4599 (cube root 15.5959) | 16 | 16 (GP2025, Keri key z) | 27 | matches |
| K_3(9,1) | 1203052223.9485 (cube root 1063.5588) | 1064 | 1064 (GP2025, Keri key e) | 1269 | matches |
| K_3(9,2) | 2294271.4103 (cube root 131.8909) | 132 | 132 (GP2025, Keri key e) | 219 | matches |
| K_3(9,3) | 27280.5977 (cube root 30.1036) | 31 | 31 (GP2025, Keri key x) | 54 | matches |
| K_3(9,4) | 1071.3322 (cube root 10.2323) | 11 | 11 (Keri key u) | 18 | matches |
| K_4(6,1) | 11633602.8877 (cube root 226.5886) | 227 | 228 (Keri key y) | 256 | below |
| K_4(6,2) | 35645.0084 (cube root 32.9104) | 33 | 33 (GP2025, Keri key j) | 52 | matches |
| K_4(6,3) | 672.5387 (cube root 8.7614) | 9 | 11 (Keri key k) | 14 | below |
| K_4(6,4) | 37.9281 (cube root 3.3599) | 4 | 4 (-) | 4 | matches |
| K_4(7,1) | 465323204.9798 (cube root 774.9105) | 775 | 776 (GP2025, Keri key z) | 992 | below |
| K_4(7,2) | 673122.2691 (cube root 87.6391) | 88 | 88 (GP2025, Keri key m) | 128 | matches |
| K_4(7,3) | 6626.8595 (cube root 18.7832) | 19 | 19 (Keri key m) | 32 | matches |
| K_4(7,4) | 262.4102 (cube root 6.4022) | 7 | 9 (Keri key k) | 10 | below |
| K_4(8,1) | 19415299911.9438 (cube root 2687.7036) | 2688 | 2731 (Keri key y) | 3456 | below |
| K_4(8,2) | 15789022.9120 (cube root 250.8717) | 251 | 251 (GP2025, Keri key y) | 352 | matches |
| K_4(8,3) | 91284.6707 (cube root 45.0263) | 46 | 46 (GP2025, Keri key m) | 96 | matches |
| K_4(8,4) | 1982.2839 (cube root 12.5619) | 13 | 13 (Keri key w) | 28 | matches |
| K_4(9,1) | 820626754258.3877 (cube root 9362.2857) | 9363 | 9368 (Keri key x) | 12288 | below |
| K_4(9,2) | 464247675.0610 (cube root 774.3131) | 775 | 775 (GP2025, Keri key x) | 1024 | matches |
| K_4(9,3) | 1532346.2199 (cube root 115.2884) | 116 | 116 (GP2025, Keri key m) | 256 | matches |
| K_4(9,4) | 18969.5615 (cube root 26.6698) | 27 | 27 (GP2025, Keri key m) | 64 | matches |
| K_4(9,5) | 736.3192 (cube root 9.0300) | 10 | 10 (Keri key m) | 16 | matches |
| K_5(5,1) | 4175720.2493 (cube root 161.0314) | 162 | 162 (GP2025, Keri key u) | 184 | matches |
| K_5(5,2) | 10172.5558 (cube root 21.6676) | 22 | 22 (Keri key m) | 35 | matches |
| K_5(6,1) | 243916525.7760 (cube root 624.8087) | 625 | 625 (Keri key h) | 625 | matches |
| K_5(6,2) | 326531.3791 (cube root 68.8613) | 69 | 71 (Keri key m) | 125 | below |
| K_5(6,3) | 2638.6382 (cube root 13.8185) | 14 | 16 (Keri key m) | 25 | below |
| K_5(6,4) | 83.8208 (cube root 4.3764) | 5 | 5 (-) | 5 | matches |
| K_5(7,1) | 20967923412.1938 (cube root 2757.5187) | 2758 | 2765 (GP2025, Keri key z) | 3125 | below |
| K_5(7,2) | 13035789.0747 (cube root 235.3490) | 236 | 236 (GP2025, Keri key m) | 525 | matches |
| K_5(7,3) | 52332.8589 (cube root 37.4046) | 38 | 38 (Keri key m) | 100 | matches |
| K_5(7,4) | 915.0206 (cube root 9.7083) | 10 | 12 (Keri key m) | 21 | below |
| K_5(8,1) | 1523498218656.9241 (cube root 11506.6080) | 11507 | 12134 (GP2025, Keri key z) | 15625 | solver failed |
| K_5(8,2) | 636348527.4690 (cube root 860.1318) | 861 | 861 (GP2025, Keri key x) | 1625 | matches |
| K_5(8,3) | 1339844.1928 (cube root 110.2431) | 111 | 111 (GP2025, Keri key m) | 325 | matches |
| K_5(8,4) | 12241.2052 (cube root 23.0467) | 24 | 25 (Keri key m) | 65 | below |
| K_5(8,5) | 384.8588 (cube root 7.2739) | 8 | 11 (Keri key k) | 15 | below |
| K_5(9,2) | 776890495.5644 (cube root 919.2916) | 920 | 3367 (Keri key y) | 6375 | solver failed |
| K_5(9,3) | 44058000.8045 (cube root 353.1899) | 354 | 354 (GP2025, Keri key p) | 1275 | matches |
| K_5(9,4) | 229071.5072 (cube root 61.1867) | 62 | 64 (Keri key m) | 255 | below |
| K_5(9,5) | 3848.6613 (cube root 15.6712) | 16 | 19 (Keri key m) | 55 | below |
| K_5(9,6) | 194.4276 (cube root 5.7932) | 6 | 10 (Keri key k) | 12 | below |
| K_6(5,2) | 40485.9428 (cube root 34.3375) | 35 | 36 (Keri key m) | 66 | below |
| K_6(6,2) | 2118341.0104 (cube root 128.4296) | 129 | 133 (Keri key m) | 274 | below |
| K_6(7,1) | 470184984576.0000 (cube root 7776.0000) | 7776 | 7777 (Keri key q) | 11040 | below |
| K_6(7,2) | 129063812.9065 (cube root 505.3607) | 506 | 528 (Keri key y) | 1296 | below |
| K_6(7,3) | 302672.0466 (cube root 67.1415) | 68 | 70 (Keri key m) | 246 | below |
| K_6(8,1) | 71784327522324.4375 (cube root 41560.0963) | 41561 | 41991 (Keri key y) | 62208 | below |
| K_6(8,2) | 13260390675.3226 (cube root 2366.9301) | 2367 | 2276 (Keri key y) | 5184 | **IMPROVES** |
| K_6(8,3) | 13741108.4531 (cube root 239.5193) | 240 | 246 (Keri key m) | 1080 | below |
| K_6(8,4) | 62042.8123 (cube root 39.5880) | 40 | 46 (Keri key m) | 216 | below |
| K_6(9,2) | 1318047585825.5432 (cube root 10964.2020) | 10965 | 10900 (Keri key y) | 29808 | **IMPROVES** |
| K_6(9,3) | 792470499.5172 (cube root 925.3962) | 926 | 921 (Keri key y) | 4752 | **IMPROVES** |
| K_6(9,4) | 2025361.3027 (cube root 126.5224) | 127 | 136 (Keri key m) | 738 | below |
| K_6(9,5) | 16855.0159 (cube root 25.6395) | 26 | 32 (Keri key m) | 144 | below |
| K_6(10,2) | 263275005.9054 (cube root 640.9191) | 641 | 53463 (Keri key y) | 132480 | solver failed |
| K_6(10,3) | 56420992284.5113 (cube root 3835.4257) | 3836 | 3815 (Keri key y) | 19347 | **IMPROVES** |
| K_6(10,4) | 85617976.0910 (cube root 440.7459) | 441 | 417 (Keri key s) | 2952 | **IMPROVES** |
| K_6(10,5) | 419532.9025 (cube root 74.8610) | 75 | 83 (Keri key m) | 615 | below |
| K_7(5,2) | 132252.6945 (cube root 50.9489) | 51 | 55 (Keri key m) | 97 | below |
| K_7(6,2) | 11009532.7453 (cube root 222.4622) | 223 | 233 (Keri key m) | 343 | below |
| K_7(7,2) | 1260367661.1762 (cube root 1080.1873) | 1081 | 1035 (Keri key x) | 2401 | **IMPROVES** |
| K_7(7,3) | 1409335.6446 (cube root 112.1170) | 113 | 127 (Keri key m) | 343 | below |
| K_7(8,2) | 178484959096.6652 (cube root 5630.3303) | 5631 | 5457 (Keri key x) | 15129 | **IMPROVES** |
| K_7(8,3) | 104090343.8141 (cube root 470.4031) | 471 | 457 (Keri key y) | 2337 | **IMPROVES** |
| K_7(8,4) | 262407.2275 (cube root 64.0214) | 65 | 76 (Keri key m) | 343 | below |
| K_7(9,2) | 28545639281567.3906 (cube root 30561.8700) | 30562 | 29889 (Keri key s) | 94587 | **IMPROVES** |
| K_7(9,3) | 9833106683.9531 (cube root 2142.3820) | 2143 | 2077 (Keri key y) | 8575 | **IMPROVES** |
| K_7(9,4) | 13935014.0532 (cube root 240.6407) | 241 | 264 (Keri key m) | 1843 | below |
| K_7(10,2) | 4967944935201822.0000 (cube root 170631.3884) | 170632 | 168042 (Keri key x) | 420175 | **IMPROVES** |
| K_7(10,3) | 15723740.0421 (cube root 250.5255) | 251 | 10577 (Keri key y) | 42189 | solver failed |
| K_7(10,4) | 954055418.7355 (cube root 984.4444) | 985 | 1007 (Keri key y) | 6517 | below |
| K_7(10,5) | 2606782.8855 (cube root 137.6264) | 138 | 160 (Keri key m) | 1225 | below |
| K_8(6,2) | 47440537.2244 (cube root 362.0066) | 363 | 382 (Keri key m) | 512 | below |
| K_8(7,2) | 112420468.5618 (cube root 482.6309) | 483 | 1984 (Keri key y) | 4096 | solver failed |
| K_8(7,3) | 5544867.4746 (cube root 176.9961) | 177 | 196 (Keri key m) | 512 | below |
| K_8(8,2) | 1741971113834.4900 (cube root 12032.2538) | 12033 | 11766 (Keri key y) | 29920 | **IMPROVES** |
| K_8(8,3) | 625541559.1229 (cube root 855.2348) | 856 | 829 (Keri key y) | 4096 | **IMPROVES** |
| K_8(9,2) | 63674773.2555 (cube root 399.3213) | 400 | 75783 (Keri key y) | 174080 | solver failed |
| K_8(9,3) | 48707050.9039 (cube root 365.1999) | 366 | 4523 (Keri key y) | 16384 | solver failed |
| K_8(9,4) | 78594541.2312 (cube root 428.3487) | 429 | 409 (Keri key s) | 2944 | **IMPROVES** |
| K_8(10,2) | 109098260103957952.0000 (cube root 477829.1146) | 477830 | 478586 (Keri key y) | 1048576 | below |
| K_8(10,3) | 15606811.7082 (cube root 249.9030) | 250 | 25767 (Keri key y) | 98304 | solver failed |
| K_8(10,4) | 8076947429.8512 (cube root 2006.3918) | 2007 | 2045 (Keri key y) | 11776 | below |
| K_8(10,5) | 13843890.7127 (cube root 240.1151) | 241 | 287 (Keri key m) | 2461 | below |
| K_9(5,2) | 938288.3711 (cube root 97.8991) | 98 | 113 (Keri key m) | 189 | below |
| K_9(6,2) | 112690599.8495 (cube root 483.0172) | 484 | 585 (Keri key m) | 729 | solver failed |
| K_9(7,2) | 104611063.6733 (cube root 471.1862) | 472 | 3536 (Keri key y) | 6561 | solver failed |
| K_9(7,3) | 19072675.4378 (cube root 267.1800) | 268 | 308 (Keri key m) | 729 | below |
| K_9(8,2) | 13214374021726.6855 (cube root 23641.8903) | 23642 | 23184 (Keri key x) | 59049 | **IMPROVES** |
| K_9(8,3) | 3133484564.0675 (cube root 1463.3308) | 1464 | 1413 (Keri key x) | 6561 | **IMPROVES** |
| K_9(9,2) | 4516380886671085.0000 (cube root 165296.4476) | 165297 | 165310 (Keri key y) | 439587 | below |
| K_9(9,3) | 654929318833.8894 (cube root 8684.2332) | 8685 | 8544 (Keri key y) | 29889 | **IMPROVES** |
| K_9(9,4) | 375202303.3991 (cube root 721.2544) | 722 | 703 (Keri key s) | 5103 | **IMPROVES** |
| K_9(10,3) | 162770716944411.3125 (cube root 54599.9308) | 54600 | 54144 (Keri key x) | 177147 | **IMPROVES** |
| K_9(10,4) | 198974908.5576 (cube root 583.8027) | 584 | 3872 (Keri key y) | 19683 | solver failed |
| K_9(10,5) | 61934372.7291 (cube root 395.6495) | 396 | 481 (Keri key m) | 3969 | below |
| K_10(5,2) | 2173393.3418 (cube root 129.5327) | 130 | 149 (Keri key m) | 250 | below |
| K_10(6,2) | 197739293.3082 (cube root 582.5917) | 583 | 890 (Keri key m) | 1350 | solver failed |
| K_10(7,2) | 197496990798.4157 (cube root 5823.5368) | 5824 | 5676 (Keri key y) | 13500 | **IMPROVES** |
| K_10(7,3) | 58800568.2238 (cube root 388.8605) | 389 | 451 (Keri key m) | 1350 | below |
| K_10(8,2) | 81874496473016.7344 (cube root 43422.6390) | 43423 | 42772 (Keri key y) | 123904 | **IMPROVES** |
| K_10(8,3) | 173489772.8228 (cube root 557.7308) | 558 | 2415 (Keri key y) | 11968 | solver failed |
| K_10(9,2) | 38406821668923608.0000 (cube root 337393.0428) | 337394 | 333560 (Keri key x) | 1000000 | **IMPROVES** |
| K_10(9,3) | 11324545.5935 (cube root 224.5641) | 225 | 15959 (Keri key y) | 67500 | solver failed |
| K_10(9,4) | 1559429245.5898 (cube root 1159.6365) | 1160 | 1130 (Keri key s) | 8500 | **IMPROVES** |
| K_10(10,2) | 19668726168902258688.0000 (cube root 2699347.1750) | 2699348 | 2676660 (Keri key a) | 7040000 | **IMPROVES** |
| K_10(10,3) | 1341798408733096.7500 (cube root 110296.6760) | 110297 | 110867 (Keri key y) | 475200 | below |
| K_10(10,4) | 330635970669.7150 (cube root 6914.8596) | 6915 | 6886 (Keri key y) | 45900 | **IMPROVES** |
| K_10(10,5) | 236517197.8155 (cube root 618.4258) | 619 | 632 (Keri key y) | 7106 | below |
| K_11(6,3) | 731730.2701 (cube root 90.1122) | 91 | 119 (Keri key m) | 275 | below |
| K_11(7,2) | 776686957562.0493 (cube root 9192.1126) | 9193 | 9106 (Keri key y) | 14641 | **IMPROVES** |
| K_11(7,3) | 165371175.3738 (cube root 548.8916) | 549 | 636 (Keri key m) | 2343 | below |
| K_11(7,4) | 166725.7094 (cube root 55.0386) | 56 | 84 (Keri key m) | 216 | below |
| K_11(8,2) | 429479007558804.1250 (cube root 75447.9273) | 75448 | 74415 (Keri key s) | 161051 | **IMPROVES** |
| K_11(8,3) | 164981676.9677 (cube root 548.4604) | 549 | 3732 (Keri key y) | 14641 | solver failed |
| K_11(8,4) | 25847038.4013 (cube root 295.6675) | 296 | 374 (Keri key m) | 1681 | below |
| K_11(9,3) | 11351413.7594 (cube root 224.7415) | 225 | None (-) | None | solver failed |
| K_11(9,4) | 5074061316.7964 (cube root 1718.3775) | 1719 | None (-) | None | solver failed |
| K_11(10,4) | 59877877.7112 (cube root 391.2210) | 392 | None (-) | None | solver failed |
| K_11(10,5) | 766228491.3109 (cube root 915.0667) | 916 | None (-) | None | solver failed |
| K_12(6,3) | 1449450.9750 (cube root 113.1708) | 114 | 144 (Keri key m) | 384 | below |
| K_12(7,3) | 429936478.4831 (cube root 754.7471) | 755 | 878 (Keri key m) | 3456 | below |
| K_12(7,4) | 324326.0300 (cube root 68.7059) | 69 | 104 (Keri key m) | 264 | below |
| K_12(8,2) | 1960445800842712.5000 (cube root 125155.9824) | 125156 | 123772 (Keri key y) | 323040 | **IMPROVES** |
| K_12(8,3) | 176048479842.8577 (cube root 5604.5932) | 5605 | 5577 (Keri key y) | 26920 | **IMPROVES** |
| K_12(8,4) | 65646908.4370 (cube root 403.4020) | 404 | 513 (Keri key m) | 2304 | below |
| K_12(9,3) | 2805063.0689 (cube root 141.0309) | 142 | None (-) | None | solver failed |
| K_12(9,4) | 15062537671.0478 (cube root 2469.6347) | 2470 | None (-) | None | solver failed |
| K_12(10,4) | 15222903.9366 (cube root 247.8368) | 248 | None (-) | None | solver failed |
| K_12(10,5) | 2133103590.1042 (cube root 1287.2730) | 1288 | None (-) | None | solver failed |
| K_13(6,2) | 11130415850.8626 (cube root 2232.7347) | 2233 | 2169 (Keri key x) | 6127 | **IMPROVES** |
| K_13(6,3) | 2744723.6795 (cube root 140.0123) | 141 | 193 (Keri key m) | 495 | below |
| K_13(7,2) | 8671805214689.1045 (cube root 20544.8593) | 20545 | 20189 (Keri key x) | 47111 | **IMPROVES** |
| K_13(7,3) | 1042545381.9263 (cube root 1013.9853) | 1014 | 1198 (Keri key m) | 4294 | below |
| K_13(7,4) | 604859.2623 (cube root 84.5703) | 85 | 132 (Keri key m) | 356 | below |
| K_13(8,2) | 7956013702275437.0000 (cube root 199632.7737) | 199633 | 197563 (Keri key x) | 371293 | **IMPROVES** |
| K_13(8,3) | 549943391275.0437 (cube root 8192.9316) | 8193 | 8086 (Keri key x) | 28561 | **IMPROVES** |
| K_13(8,4) | 156826955.9066 (cube root 539.2708) | 540 | 684 (Keri key m) | 3249 | below |
| K_13(9,4) | 38924583803.6369 (cube root 3389.0241) | 3390 | None (-) | None | solver failed |
| K_13(10,5) | 4856896189.3340 (cube root 1693.5042) | 1694 | None (-) | None | solver failed |
| K_14(6,2) | 26029997635.0231 (cube root 2963.6350) | 2964 | 2955 (Keri key y) | 7203 | **IMPROVES** |
| K_14(7,2) | 25421955407087.6172 (cube root 29403.7678) | 29404 | 29273 (Keri key y) | 78934 | **IMPROVES** |
| K_14(7,3) | 2373970541.8873 (cube root 1334.0080) | 1335 | 1570 (Keri key m) | 4802 | below |
| K_14(8,2) | 29192199413191880.0000 (cube root 307908.9214) | 307909 | 305294 (Keri key y) | 671728 | **IMPROVES** |
| K_14(8,3) | 1587550197533.3596 (cube root 11665.6557) | 11666 | 11878 (Keri key y) | 51670 | below |
| K_14(8,4) | 353206919.5042 (cube root 706.8757) | 707 | 917 (Keri key m) | 4356 | below |
| K_14(9,4) | 89088595803.4487 (cube root 4466.2261) | 4467 | None (-) | None | solver failed |
| K_15(6,2) | 57581629929.7507 (cube root 3861.5469) | 3862 | 3812 (Keri key y) | 10625 | **IMPROVES** |
| K_15(7,3) | 5267729520.3213 (cube root 1739.9676) | 1740 | 1745 (Keri key s) | 6497 | below |
| K_15(8,2) | 98159168583203072.0000 (cube root 461293.0985) | 461294 | 457584 (Keri key x) | 1166533 | **IMPROVES** |
| K_15(8,3) | 4277341498278.1284 (cube root 16232.7204) | 16233 | 16380 (Keri key y) | 84375 | below |
| K_15(8,4) | 753113133.8002 (cube root 909.8157) | 910 | 1181 (Keri key m) | 5625 | below |
| K_16(6,2) | 121307713297.4157 (cube root 4950.2767) | 4951 | 4848 (Keri key x) | 10752 | **IMPROVES** |
| K_16(7,2) | 177847097987934.4375 (cube root 56236.1518) | 56237 | 55600 (Keri key y) | 172032 | **IMPROVES** |
| K_16(7,3) | 10963942976.9729 (cube root 2221.5474) | 2222 | 2226 (Keri key s) | 8192 | below |
| K_16(8,2) | 305803457327468928.0000 (cube root 673722.1052) | 673723 | 669207 (Keri key y) | 1954905 | **IMPROVES** |
| K_16(8,3) | 10844959069170.1465 (cube root 22134.8189) | 22135 | 22167 (Keri key y) | 123192 | below |
| K_16(8,4) | 1531056111.4214 (cube root 1152.5604) | 1153 | 1507 (Keri key m) | 7569 | below |
| K_17(6,2) | 244740970517.9601 (cube root 6255.1188) | 6256 | 6260 (Keri key y) | 14424 | below |
| K_17(7,2) | 431371257290463.7500 (cube root 75558.5708) | 75559 | 75429 (Keri key y) | 252735 | **IMPROVES** |
| K_17(7,3) | 21899069878.8012 (cube root 2797.7478) | 2798 | 2806 (Keri key s) | 10657 | below |
| K_17(8,2) | 890679708782178816.0000 (cube root 962144.9827) | 962145 | 955978 (Keri key x) | 3038049 | **IMPROVES** |
| K_17(8,3) | 26068635045839.5000 (cube root 29651.0059) | 29652 | 29478 (Keri key x) | 172557 | **IMPROVES** |
| K_17(8,4) | 3136996622.1336 (cube root 1463.8773) | 1464 | 1458 (Keri key y) | 9801 | **IMPROVES** |
| K_18(6,2) | 475141755609.1309 (cube root 7803.2298) | 7804 | 7741 (Keri key y) | 15309 | **IMPROVES** |
| K_18(7,2) | 996123323830571.5000 (cube root 99870.6101) | 99871 | 100579 (Keri key y) | 275562 | below |
| K_18(7,3) | 42154799428.0622 (cube root 3480.2919) | 3481 | 3492 (Keri key s) | 13122 | below |
| K_18(8,2) | 2443631399970068992.0000 (cube root 1346930.6400) | 1346931 | 1339650 (Keri key y) | 3779136 | **IMPROVES** |
| K_18(8,3) | 8076111.3562 (cube root 200.6323) | 201 | 39755 (Keri key y) | 215784 | solver failed |
| K_18(8,4) | 5990753841.7733 (cube root 1816.1867) | 1817 | 1839 (Keri key s) | 12321 | below |
| K_19(6,2) | 891175421360.9823 (cube root 9623.2345) | 9624 | 9479 (Keri key x) | 20890 | **IMPROVES** |
| K_19(7,2) | 2201097557389809.7500 (cube root 130080.7695) | 130081 | 128972 (Keri key x) | 396910 | **IMPROVES** |
| K_19(7,3) | 78489761764.7019 (cube root 4281.5827) | 4282 | 4237 (Keri key x) | 18737 | **IMPROVES** |
| K_19(8,2) | 6355219046772817920.0000 (cube root 1852295.0865) | 1852296 | 1842639 (Keri key x) | 5564881 | **IMPROVES** |
| K_19(8,3) | 8119292.0951 (cube root 200.9892) | 201 | 51278 (Keri key y) | 290157 | solver failed |
| K_19(8,4) | 11076733390.4369 (cube root 2229.1394) | 2230 | 2256 (Keri key y) | 15129 | below |
| K_20(6,2) | 1620259395999.0898 (cube root 11745.2297) | 11746 | 11778 (Keri key y) | 28160 | below |
| K_20(7,2) | 4674494998645309.0000 (cube root 167203.3213) | 167204 | 167165 (Keri key y) | 563200 | **IMPROVES** |
| K_20(7,3) | 141805510629.5870 (cube root 5214.7205) | 5215 | 5174 (Keri key x) | 21202 | **IMPROVES** |
| K_20(8,2) | 15752056753460297728.0000 (cube root 2506758.0751) | 2506759 | 2495614 (Keri key y) | 7929856 | **IMPROVES** |
| K_20(8,3) | 276533350307228.9062 (cube root 65150.2128) | 65151 | 65351 (Keri key y) | 380160 | below |
| K_20(8,4) | 19888391943.7444 (cube root 2709.3590) | 2710 | 2760 (Keri key y) | 18225 | below |
| K_21(6,2) | 2863876980829.1851 (cube root 14200.9736) | 14201 | 14131 (Keri key y) | 37481 | **IMPROVES** |
| K_21(7,2) | 9577426006056482.0000 (cube root 212364.9966) | 212365 | 213881 (Keri key y) | 571438 | below |
| K_21(7,3) | 249273792269.8689 (cube root 6293.4996) | 6294 | 6249 (Keri key x) | 28812 | **IMPROVES** |
