variant,cell,seed,rep,cpu,iters,uncovered,wall
p2 +uint8 state,"K6(8,4)",3,0,3.217,600,19,3.22
p5+prefetch,"K6(8,4)",1,1,0.949,600,25,0.95
p4 +uncov. list,"K6(6,3)",1,0,1.32,20000,26,1.32
p3 +shared sphere,"K6(6,3)",3,2,2.194,20000,25,2.19
base,"K6(8,4)",3,2,5.041,600,19,5.04
p2b 2-bit state,"K6(8,4)",2,2,4.094,600,21,4.09
base,"K6(8,4)",3,1,5.055,600,19,5.05
p2 +uint8 state,"K6(6,3)",1,2,2.251,20000,26,2.25
base,"K6(8,4)",1,0,5.071,600,25,5.07
p5+prefetch,"K6(8,4)",2,2,0.958,600,21,0.96
p1 walk+hoist,"K8(9,4)",1,1,32.579,50,10345,32.58
p1 walk+hoist,"K6(8,4)",2,2,4.105,600,21,4.1
p5 +hugepages,"K6(6,3)",3,0,1.305,20000,25,1.31
p2b 2-bit state,"K8(9,4)",3,0,14.571,50,10275,14.57
p5+prefetch,"K6(8,4)",2,0,0.966,600,21,0.97
p5+prefetch,"K6(6,3)",2,1,1.287,20000,24,1.29
base,"K6(6,3)",3,2,2.901,20000,25,2.9
p1 walk+hoist,"K8(9,4)",3,0,30.969,50,10275,30.97
p5b 2-bit+shared,"K6(6,3)",1,0,1.379,20000,26,1.38
p2b 2-bit state,"K6(6,3)",1,2,3.531,20000,26,3.53
p2b 2-bit state,"K6(8,4)",3,2,4.146,600,19,4.15
p5+prefetch,"K8(9,4)",3,0,5.98,50,10275,5.98
p4 +uncov. list,"K8(9,4)",3,1,6.08,50,10275,6.08
p3 +shared sphere,"K6(6,3)",2,2,2.183,20000,24,2.18
p5b 2-bit+shared,"K6(6,3)",3,1,1.348,20000,25,1.35
p5b 2-bit+shared,"K6(6,3)",2,0,1.315,20000,24,1.31
p4 +uncov. list,"K6(8,4)",2,0,0.973,600,21,0.97
p2b 2-bit state,"K6(8,4)",1,0,4.126,600,25,4.13
p2b 2-bit state,"K6(6,3)",1,1,3.502,20000,26,3.5
p2 +uint8 state,"K8(9,4)",3,0,21.895,50,10275,21.9
p5 +hugepages,"K6(8,4)",2,1,0.966,600,21,0.97
p1 walk+hoist,"K6(8,4)",2,1,4.086,600,21,4.09
p2 +uint8 state,"K6(6,3)",3,1,2.247,20000,25,2.25
p3 +shared sphere,"K6(8,4)",3,1,2.78,600,19,2.78
p2b 2-bit state,"K8(9,4)",2,0,14.659,50,10250,14.66
p2b 2-bit state,"K6(6,3)",2,2,3.543,20000,24,3.54
p1 walk+hoist,"K6(8,4)",1,1,4.116,600,25,4.12
p2b 2-bit state,"K6(8,4)",2,0,4.14,600,21,4.14
base,"K6(6,3)",3,0,2.886,20000,25,2.89
base,"K8(9,4)",2,1,38.214,50,10250,38.21
p2b 2-bit state,"K6(8,4)",1,2,4.149,600,25,4.15
