variant,cell,seed,rep,cpu,iters,uncovered,wall
p2b 2-bit state,"K6(6,3)",1,1,3.542,20000,26,3.54
p5+prefetch,"K6(6,3)",1,0,1.333,20000,26,1.33
p2b 2-bit state,"K6(6,3)",3,2,3.556,20000,25,3.56
p2b 2-bit state,"K6(6,3)",2,2,3.572,20000,24,3.57
p4 +uncov. list,"K6(8,4)",3,1,0.94,600,19,0.94
p3 +shared sphere,"K8(9,4)",3,0,13.104,50,10275,13.1
p5+prefetch,"K6(6,3)",3,1,1.322,20000,25,1.32
p2 +uint8 state,"K6(8,4)",1,1,3.431,600,25,3.43
p3 +shared sphere,"K8(9,4)",2,1,13.825,50,10250,13.83
p1 walk+hoist,"K6(8,4)",3,1,4.065,600,19,4.07
p4 +uncov. list,"K6(6,3)",1,1,1.336,20000,26,1.34
p5+prefetch,"K6(6,3)",1,1,1.334,20000,26,1.33
p1 walk+hoist,"K6(8,4)",2,0,4.293,600,21,4.29
p5+prefetch,"K8(9,4)",2,1,4.716,50,10250,4.72
p4 +uncov. list,"K8(9,4)",3,1,4.724,50,10275,4.72
p1 walk+hoist,"K6(8,4)",3,2,4.081,600,19,4.08
p2b 2-bit state,"K8(9,4)",1,1,12.057,50,10345,12.06
p2 +uint8 state,"K6(8,4)",1,2,3.243,600,25,3.24
p4 +uncov. list,"K6(6,3)",3,0,1.324,20000,25,1.32
p2b 2-bit state,"K6(8,4)",3,1,4.094,600,19,4.09
p2b 2-bit state,"K6(6,3)",3,0,3.526,20000,25,3.53
p2 +uint8 state,"K6(8,4)",2,2,3.327,600,21,3.33
p5+prefetch,"K6(6,3)",2,1,1.302,20000,24,1.3
p3 +shared sphere,"K8(9,4)",3,1,13.087,50,10275,13.09
p3 +shared sphere,"K8(9,4)",1,1,13.793,50,10345,13.79
p2 +uint8 state,"K6(8,4)",3,0,3.335,600,19,3.33
p2 +uint8 state,"K6(6,3)",1,2,2.266,20000,26,2.27
p5+prefetch,"K6(8,4)",3,0,0.996,600,19,1.0
p2b 2-bit state,"K6(8,4)",3,2,4.112,600,19,4.11
p5+prefetch,"K8(9,4)",3,0,4.386,50,10275,4.39
p3 +shared sphere,"K6(6,3)",3,2,2.176,20000,25,2.18
p3 +shared sphere,"K8(9,4)",1,0,12.618,50,10345,12.62
base,"K6(8,4)",3,0,5.167,600,19,5.17
p2 +uint8 state,"K6(6,3)",1,1,2.263,20000,26,2.26
p3 +shared sphere,"K6(8,4)",2,0,2.813,600,21,2.81
p2b 2-bit state,"K6(8,4)",2,1,4.068,600,21,4.07
p5 +hugepages,"K6(6,3)",1,1,1.343,20000,26,1.34
p3 +shared sphere,"K6(6,3)",2,2,2.228,20000,24,2.23
p4 +uncov. list,"K8(9,4)",1,1,4.439,50,10345,4.44
p2b 2-bit state,"K6(6,3)",2,0,3.546,20000,24,3.55
p5+prefetch,"K6(6,3)",2,2,1.302,20000,24,1.3
base,"K6(6,3)",3,2,2.85,20000,25,2.85
p2b 2-bit state,"K6(6,3)",1,2,3.532,20000,26,3.53
p2 +uint8 state,"K6(8,4)",2,1,3.297,600,21,3.3
p4 +uncov. list,"K6(6,3)",1,0,1.347,20000,26,1.35
p5+prefetch,"K6(6,3)",3,0,1.316,20000,25,1.32
p3 +shared sphere,"K6(8,4)",1,2,2.833,600,25,2.83
p2b 2-bit state,"K8(9,4)",3,0,10.633,50,10275,10.63
p5 +hugepages,"K6(8,4)",1,2,1.037,600,25,1.04
p2b 2-bit state,"K8(9,4)",2,1,11.442,50,10250,11.44
p3 +shared sphere,"K6(6,3)",1,1,2.182,20000,26,2.18
p1 walk+hoist,"K6(6,3)",2,1,2.156,20000,24,2.16
p5+prefetch,"K6(6,3)",2,0,1.294,20000,24,1.29
p5 +hugepages,"K6(6,3)",1,0,1.347,20000,26,1.35
base,"K6(6,3)",2,1,2.894,20000,24,2.89
p1 walk+hoist,"K6(8,4)",1,1,4.155,600,25,4.15
p2 +uint8 state,"K8(9,4)",1,0,17.526,50,10345,17.53
base,"K6(8,4)",2,1,5.196,600,21,5.2
p5+prefetch,"K6(8,4)",2,2,0.963,600,21,0.96
p5+prefetch,"K6(8,4)",1,1,0.944,600,25,0.94
base,"K6(8,4)",3,1,5.099,600,19,5.1
p5 +hugepages,"K6(8,4)",2,0,0.952,600,21,0.95
p1 walk+hoist,"K6(8,4)",1,0,4.054,600,25,4.05
p5 +hugepages,"K6(6,3)",1,2,1.368,20000,26,1.37
base,"K8(9,4)",2,1,28.063,50,10250,28.06
p2 +uint8 state,"K6(6,3)",1,0,2.248,20000,26,2.25
base,"K6(6,3)",2,2,2.852,20000,24,2.85
p2 +uint8 state,"K6(8,4)",2,0,3.309,600,21,3.31
p4 +uncov. list,"K8(9,4)",2,0,4.798,50,10250,4.8
p4 +uncov. list,"K8(9,4)",1,0,5.003,50,10345,5.0
p4 +uncov. list,"K6(8,4)",2,0,0.985,600,21,0.99
p4 +uncov. list,"K6(8,4)",3,2,0.995,600,19,1.0
p3 +shared sphere,"K6(6,3)",1,2,2.181,20000,26,2.18
p2b 2-bit state,"K6(8,4)",3,0,4.148,600,19,4.15
p5 +hugepages,"K6(8,4)",1,0,0.993,600,25,0.99
p5 +hugepages,"K8(9,4)",2,0,4.66,50,10250,4.66
p3 +shared sphere,"K6(8,4)",1,1,2.792,600,25,2.79
p3 +shared sphere,"K6(8,4)",2,2,2.825,600,21,2.82
p1 walk+hoist,"K6(6,3)",2,2,2.147,20000,24,2.15
p4 +uncov. list,"K6(6,3)",2,1,1.3,20000,24,1.3
p3 +shared sphere,"K8(9,4)",2,0,13.802,50,10250,13.8
p5 +hugepages,"K8(9,4)",1,1,4.882,50,10345,4.88
p1 walk+hoist,"K6(8,4)",2,1,4.335,600,21,4.34
p5+prefetch,"K6(8,4)",2,1,0.999,600,21,1.0
p5 +hugepages,"K6(6,3)",2,0,1.298,20000,24,1.3
p4 +uncov. list,"K8(9,4)",3,0,4.737,50,10275,4.74
p5+prefetch,"K6(8,4)",3,1,0.984,600,19,0.98
p4 +uncov. list,"K6(8,4)",3,0,0.995,600,19,0.99
p2 +uint8 state,"K6(6,3)",2,1,2.287,20000,24,2.29
p5 +hugepages,"K6(6,3)",3,2,1.333,20000,25,1.33
base,"K8(9,4)",3,0,28.438,50,10275,28.44
p5 +hugepages,"K6(8,4)",3,2,0.998,600,19,1.0
p2b 2-bit state,"K6(8,4)",1,1,4.104,600,25,4.1
p1 walk+hoist,"K6(6,3)",2,0,2.157,20000,24,2.16
p4 +uncov. list,"K8(9,4)",2,1,4.651,50,10250,4.65
p2b 2-bit state,"K6(6,3)",2,1,3.575,20000,24,3.57
base,"K8(9,4)",2,0,27.31,50,10250,27.31
p2 +uint8 state,"K8(9,4)",3,0,16.621,50,10275,16.62
