cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K8(9,4)",p5b,4,10800,100,2.1917,28,2.192,28,10791,2.19
"K8(9,4)",base,10,10800,100,21.2228,28,21.223,28,10794,21.23
"K8(9,4)",p5b+wide,14,10800,100,1.7941,23,1.794,23,10788,1.79
"K6(8,4)",p5,18,20,90,1.473,878,1.473,878,20,1.47
"K8(9,4)",p5,3,10800,100,3.907,31,3.907,31,10770,3.91
"K6(8,4)",p5,8,20,90,0.5259,310,0.526,310,20,0.53
"K6(6,3)",base,15,30,45,2.8614,19748,2.861,19748,29,2.87
"K6(8,4)",p5b,17,20,90,1.1114,751,1.111,751,20,1.11
"K6(6,3)",base,14,30,45,0.8302,5810,0.83,5810,29,0.83
"K8(9,4)",p5b,12,10800,100,2.2686,30,2.269,30,10783,2.27
"K6(8,4)",p5+fix0,15,20,90,1.7467,989,1.747,989,20,1.75
"K6(6,3)",p5+upick,1,30,45,-1.0,-1,45.0,534112,57,45.0
"K6(8,4)",p5+upick,1,20,90,3.6068,2143,3.607,2143,20,3.61
"K6(8,4)",p5b+wide,2,20,90,0.774,533,0.774,533,20,0.77
"K8(9,4)",base,16,10800,100,23.5802,30,23.58,30,10777,23.58
"K6(8,4)",p5+upick,5,20,90,2.176,1282,2.176,1282,19,2.18
"K6(6,3)",p5+upick,11,30,45,-1.0,-1,45.001,546048,44,45.0
"K8(9,4)",p5,14,10800,100,3.7541,30,3.754,30,10797,3.76
"K8(9,4)",base,15,10800,100,26.3604,33,26.36,33,10778,26.36
"K6(6,3)",p5+upick,7,30,45,34.0403,411613,34.04,411613,29,34.04
"K6(8,4)",p5b+wide,4,20,90,0.4619,323,0.462,323,20,0.46
"K8(9,4)",p5,1,10800,100,4.1183,32,4.118,32,10791,4.12
"K6(8,4)",p5,16,20,90,1.1384,675,1.138,675,20,1.14
"K6(6,3)",p5b,5,30,45,0.5536,7962,0.554,7962,29,0.55
"K8(9,4)",p5,9,10800,100,4.0504,31,4.05,31,10775,4.05
"K8(9,4)",p5+wide,14,10800,100,2.9988,23,2.999,23,10788,3.0
"K8(9,4)",p5b+wide,13,10800,100,1.8663,23,1.866,23,10773,1.87
"K6(8,4)",p5+wide,6,20,90,1.9507,1157,1.951,1157,20,1.95
"K6(6,3)",p5b+wide,1,30,45,1.1346,16425,1.135,16425,29,1.13
"K6(6,3)",p5,14,30,45,0.4009,5810,0.401,5810,29,0.4
"K6(6,3)",p5,2,30,45,0.6547,9833,0.655,9833,30,0.65
"K6(6,3)",p5+upick,16,30,45,-1.0,-1,45.001,532592,61,45.0
"K8(9,4)",p5+wide,13,10800,100,3.0281,23,3.028,23,10773,3.03
"K6(8,4)",p5+ucache,16,20,90,0.7368,435,0.737,435,19,0.74
"K8(9,4)",base,1,10800,100,25.8512,32,25.851,32,10791,25.85
"K6(6,3)",p5+ucache,12,30,45,0.2313,3213,0.231,3213,29,0.23
"K6(6,3)",p5+fix0,7,30,45,0.5132,7789,0.513,7789,30,0.51
"K6(6,3)",p5,13,30,45,0.4077,5844,0.408,5844,30,0.41
"K6(6,3)",p5b,14,30,45,0.4148,5810,0.415,5810,29,0.41
"K6(6,3)",p5+wide,20,30,45,11.0185,164589,11.018,164589,30,11.02
"K6(8,4)",p5+ucache,20,20,90,1.5363,917,1.536,917,20,1.54
"K8(9,4)",base,7,10800,100,21.7201,28,21.72,28,10785,21.72
"K8(9,4)",p5,16,10800,100,4.0875,30,4.087,30,10777,4.09
"K6(8,4)",p5+upick,19,20,90,4.9994,2941,4.999,2941,20,5.0
"K6(8,4)",p5+ucache,18,20,90,0.8548,508,0.855,508,20,0.85
"K6(6,3)",p5b+wide,18,30,45,6.4565,94750,6.457,94750,30,6.46
"K6(6,3)",p5+fix0,18,30,45,2.6365,40189,2.636,40189,30,2.64
"K8(9,4)",base,5,10800,100,23.5262,30,23.526,30,10768,23.53
"K8(9,4)",p5b+wide,12,10800,100,1.9537,23,1.954,23,10790,1.95
"K6(8,4)",p5,1,20,90,1.6896,966,1.69,966,20,1.69
