cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K6(6,3)",p5,5,10,45,22.7983,379760,22.798,379760,10,22.8
"K6(8,4)",p5+upick,20,20,90,4.9849,2961,4.985,2961,20,4.99
"K6(8,4)",p5+ucache,6,20,90,0.8472,493,0.847,493,20,0.85
"K8(9,4)",p5,4,10800,100,3.9297,28,3.93,28,10791,3.93
"K6(8,4)",base,2,20,90,6.0738,677,6.074,677,20,6.07
"K6(6,3)",p5+fix0,15,10,45,-1.0,-1,45.0,765472,13,45.0
"K6(8,4)",p5+ucache,12,20,90,1.1963,712,1.196,712,20,1.2
"K8(9,4)",p5+wide,16,10800,100,3.0344,22,3.034,22,10790,3.03
"K6(8,4)",base,11,20,90,2.9497,327,2.95,327,20,2.95
"K6(6,3)",p5+fix0,3,10,45,4.7012,76080,4.701,76080,9,4.7
"K6(8,4)",p5+wide,3,20,90,0.6578,380,0.658,380,20,0.66
"K6(6,3)",p5+upick,12,10,45,-1.0,-1,45.001,543536,60,45.0
"K6(8,4)",p5+upick,9,20,90,2.6119,1551,2.612,1551,19,2.61
"K6(6,3)",p5+wide,7,10,45,-1.0,-1,45.001,732688,16,45.0
"K6(6,3)",p5,15,10,45,1.4008,21176,1.401,21176,8,1.4
"K8(9,4)",base,13,10800,100,22.2762,29,22.276,29,10789,22.28
"K6(8,4)",p5+upick,12,20,90,0.9303,546,0.93,546,20,0.93
"K6(8,4)",base,5,20,90,5.848,616,5.848,616,20,5.85
"K6(8,4)",base,9,20,90,7.0139,730,7.014,730,20,7.01
"K8(9,4)",p5,19,10800,100,3.8369,30,3.837,30,10782,3.84
"K6(6,3)",p5,12,10,45,-1.0,-1,45.001,746960,14,45.0
"K8(9,4)",base,20,10800,100,22.5139,28,22.514,28,10773,22.52
"K6(8,4)",p5+upick,6,20,90,1.3547,794,1.355,794,20,1.35
"K6(8,4)",p5,17,20,90,1.2664,751,1.266,751,20,1.27
"K6(8,4)",base,12,20,90,4.1086,435,4.109,435,20,4.11
"K6(6,3)",p5+wide,6,10,45,-1.0,-1,45.001,715088,25,45.0
"K6(6,3)",p5+upick,13,10,45,10.8904,131051,10.89,131051,8,10.89
"K6(8,4)",p5+fix0,19,20,90,2.0947,1189,2.095,1189,19,2.09
"K8(9,4)",base,15,10800,100,29.0256,33,29.026,33,10778,29.03
"K8(9,4)",p5,9,10800,100,4.7169,31,4.717,31,10775,4.72
"K6(8,4)",p5+ucache,8,20,90,0.9999,560,1.0,560,20,1.0
"K6(8,4)",base,14,20,90,4.0346,398,4.035,398,20,4.03
"K6(8,4)",p5,14,20,90,0.729,398,0.729,398,20,0.73
"K6(8,4)",p5+upick,18,20,90,3.4245,1833,3.424,1833,20,3.42
"K6(6,3)",p5+ucache,3,10,45,2.0065,28989,2.007,28989,10,2.01
"K6(6,3)",p5+upick,19,10,45,-1.0,-1,45.0,542928,62,45.0
"K6(6,3)",p5+ucache,18,10,45,9.3773,144456,9.377,144456,9,9.38
"K6(8,4)",p5,11,20,90,0.6212,327,0.621,327,20,0.62
"K6(6,3)",p5+ucache,1,10,45,0.9831,14353,0.983,14353,10,0.98
"K6(8,4)",p5+upick,15,20,90,1.4284,807,1.428,807,20,1.43
"K6(8,4)",p5+wide,11,20,90,0.6993,381,0.699,381,19,0.7
"K6(6,3)",p5+fix0,20,10,45,-1.0,-1,45.0,746416,18,45.0
"K6(8,4)",p5+wide,17,20,90,0.7928,434,0.793,434,20,0.79
"K6(6,3)",p5+ucache,2,10,45,2.868,40649,2.868,40649,10,2.87
