cell,variant,median_cpu,q1,q3,n,speedup
"K6(8,4)",p2 +uint8 state,3.369,3.312,3.501,9,1.648
"K6(6,3)",p2 +uint8 state,2.253,2.247,2.266,9,1.285
"K8(9,4)",p2 +uint8 state,23.714,23.2105,24.9967,6,1.646
"K6(8,4)",p5+prefetch,1.003,0.966,1.02,9,5.535
"K6(6,3)",p5+prefetch,1.314,1.294,1.323,9,2.202
"K8(9,4)",p5+prefetch,6.509,6.1405,6.5648,6,5.996
"K6(8,4)",p4 +uncov. list,0.996,0.987,1.04,9,5.574
"K6(6,3)",p4 +uncov. list,1.307,1.299,1.313,9,2.214
"K8(9,4)",p4 +uncov. list,6.437,6.384,6.6857,6,6.063
"K6(8,4)",p3 +shared sphere,2.854,2.783,2.898,9,1.945
"K6(6,3)",p3 +shared sphere,2.186,2.183,2.194,9,1.324
"K8(9,4)",p3 +shared sphere,20.006,19.7888,21.253,6,1.951
"K6(8,4)",base,5.552,5.071,5.817,9,1.0
"K6(6,3)",base,2.894,2.885,2.901,9,1.0
"K8(9,4)",base,39.028,38.89,40.3517,6,1.0
"K6(8,4)",p2b 2-bit state,4.149,4.14,4.207,9,1.338
"K6(6,3)",p2b 2-bit state,3.541,3.531,3.551,9,0.817
"K8(9,4)",p2b 2-bit state,16.0275,14.8548,21.6395,6,2.435
"K6(8,4)",p1 walk+hoist,4.293,4.116,4.434,9,1.293
"K6(6,3)",p1 walk+hoist,2.145,2.131,2.158,9,1.349
"K8(9,4)",p1 walk+hoist,34.5935,31.3715,39.2818,6,1.128
"K6(8,4)",p5 +hugepages,1.026,0.998,1.043,9,5.411
"K6(6,3)",p5 +hugepages,1.314,1.287,1.323,9,2.202
"K8(9,4)",p5 +hugepages,6.391,6.343,6.565,6,6.107
"K6(8,4)",p5b 2-bit+shared,0.879,0.868,0.943,9,6.316
"K6(6,3)",p5b 2-bit+shared,1.352,1.315,1.356,9,2.141
"K8(9,4)",p5b 2-bit+shared,3.958,3.9083,4.2432,6,9.861
