cell,variant,n,solved,median_ttt_cpu,q1,q3,speedup_vs_base,ci_lo,ci_hi,p_faster,median_ttt_iters
"K8(9,4)",p5b,20,20,3.46,2.2426,3.924,7.012,6.074,11.434,1.0,30.0
"K8(9,4)",base,20,20,24.2623,22.2995,30.1763,1.0,0.808,1.236,0.5,30.0
"K8(9,4)",p5b+wide,20,20,2.8935,1.8483,3.0864,8.385,7.687,12.984,1.0,23.0
"K8(9,4)",p5,20,20,4.069,3.5195,5.8551,5.963,4.33,7.389,1.0,30.0
"K8(9,4)",p5+wide,20,20,3.0134,2.7681,4.6024,8.051,5.251,9.89,1.0,23.0
"K6(8,4)",p5b,20,20,1.0173,0.6141,1.2174,6.601,4.272,10.539,1.0,676.0
"K6(8,4)",base,20,20,6.7152,3.8837,7.9767,1.0,0.643,1.555,0.5,676.0
"K6(8,4)",p5b+wide,20,20,0.6119,0.5594,0.9621,10.973,6.188,13.053,1.0,421.0
"K6(8,4)",p5,20,20,1.1349,0.8472,1.5908,5.917,3.44,7.721,1.0,676.0
"K6(8,4)",p5+fix0,20,20,1.3582,1.0758,1.8325,4.944,3.048,6.382,0.998,701.5
"K6(8,4)",p5+upick,20,20,3.8112,1.7795,5.7112,1.762,0.983,3.347,0.73,1988.0
"K6(8,4)",p5+wide,20,20,0.8139,0.6857,1.3499,8.25,4.287,10.312,1.0,421.0
"K6(8,4)",p5+ucache,20,20,1.0975,0.9084,1.1888,6.119,4.031,7.71,0.998,556.0
"K6(6,3)",p5b,20,20,0.6066,0.4769,0.8997,2.093,1.278,3.18,0.785,8735.5
"K6(6,3)",base,20,20,1.2694,0.9415,1.8433,1.0,0.634,1.587,0.5,8735.5
"K6(6,3)",p5b+wide,20,20,2.995,1.5924,6.6431,0.424,0.196,0.912,0.273,43390.0
"K6(6,3)",p5,20,20,0.5927,0.4589,0.9004,2.142,1.312,3.303,0.792,8735.5
"K6(6,3)",p5+fix0,20,20,1.3644,0.6944,2.511,0.93,0.546,1.582,0.5,20628.0
"K6(6,3)",p5+upick,20,5,,19.0334,24.954,,0.035,0.121,0.003,289083
"K6(6,3)",p5+wide,20,20,2.9813,1.5446,6.4821,0.426,0.208,0.919,0.282,43390.0
"K6(6,3)",p5+ucache,20,20,0.8281,0.4887,2.258,1.533,0.642,2.914,0.63,11949.5
